,reple_result
0,아니  톰홀랜드 ㅈㄴ 좋 연애설 슬프  얼 아깝  지랄 톰홀랜드 좋 톰홀랜드 무슨 선택  존중  뭔ㅋㅋㅋㅋㅋ
1,눈 낮 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말 뽄새 역겹
2,톰홀랜드 덕   같 ㅋㅋ말 꼬라지
3,함소원 진화  으로  진화   필  한녀 한국 밖에 사 람에게 한국 꼴페미 문화   케이스
4,아니  진화같 애  저런 성괴 아줌마  노이 어리 돈 많  진화 개
5,같 한녀  양심없  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  함소원  전형인 한녀 종   ㅋㅋㅋ 쥐뿔    남자   종특
6,젊  돈 많 남자 상녀 녀충한테  처음 이해   ㅠ
7,징그럽 소름ㅋㅋ  빠순이 정신병자 일종
8,일베충  여남갈등 조장  좋 일본으로  스시녀
9,덩치 돼지파오후에   피부 여자몸에   아무 문제없   피부 몸에  혐오   같
10,일본보다 한남  극혐임 하나 생산  백해무익ㅋㅋㅋ
11,남혐 여혐 판에서  니들 페미새끼 일베새끼 둘 똑같
12,일본불매  한남불매  사람 국뽕에  본인 안전
13,사실 통계   반박 발작  한남 모습  댓글창에서     남자 이런 남자
14,헬새여혐남  이 나라 헬조선인걸 녀탓 나라     비판대상에서
15,외모 수준  애   성취감 글쓴이 같 화장  존못녀   개떡같 상황 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
16,한국여자  착각ㅋㅋㅋㅋ  성형 화장   유튜브에 코애 면상  한남보다  ㅋㅋㅋㅋㅋㅋ
17,댓글에 한남   어떤   록  좌표  남
18,이 글에 발작 한남    부들  ㅋㅋㅋㅋ
19,베트남 필리핀 애 싫 빠좀비  싫
20,일베충  느그나라 우익원숭이  세뇌충
21,ㅋㅋ내전남친 이런새끼 결국 ㅋㅋㅋㅋ개쌍욕  조카  정색    에이 그런    예민충 듬ㅋㅋㅋ그후로 연락   ㅋㅋ
22,지랄 병신장애인 개씨발놈  칼로  내장   줄넘기   씨발 다리 접 개씨발련ㅇ
23,분탕홍어  틀새끼 특징가입일자 15년  좆유입새끼 없 ㅋㅋㅋㅋㅋ
24,이새끼 하루종일 틀글 ㅋㅋ 증오심네 ㅋㅋ
25,윤서인 빠새끼 사실 윾튜브  새끼이랑 똑같 둘 기회주의자 보수 이미지
26,틀이 틀  병신 틀니새끼
27,감비아에 백마 ㅂㅈ  ㅈ
28,고딩  각 초딩 저런애 부모 뭐 인간
29,웹툰 희대 창ㅋㅋㅋㅋㅋ  박재언 개
30,개보탱이 보지에       좆밥 시체    많  주제
31,저런 좌빨 겉  정의 오지 속으로  악마새끼마냥 심성  새끼
32,틀니 새끼 진심
33,씹가능 좆밥새끼  저지랄
34,보수 보고 좌   틀새끼  욕 욕 스터콜로 민주  본인 보수에  생각ㅋㅋㅋㅋㅋ
35,일베 틀새끼 대다수 저런 부류  새끼   정게틀 좆버러지새끼   ㅋ
36,저런 틀 개 싸이코새끼  광대뼈 함몰 버릇
37,민국 하루이틀 ㅋㅋㅋㅋ 헬조선 보지   감성팔
38,어그로  정신병자
39,저 키에 연애   애 많   이상학생회 씹인싸 애
40,전라도 염전노예 통수 일상 경상도  시비 학폭 일상
41,이런 결혼 남편 딴남자맘에 결시친에 글련왜  서 정신승리 위로
42,여자로 여자좋 이런경우에 위로 정신승리남자  조카 욕쳐 발악쳐대한민국 여자로 곳
43,상관없 자유 관   같 시대에 길빵 순간 개념 노이 극혐
44,같 기호식품  남자   여자   발상자체 성차별인 편견 담배 사람 별 생각없    암 정도  길빵 극혐이고 담배냄새랑 입냄새
45,여자 남자 내 근처에서    길빵 개극혐
46,냄새 ㅈㄴ  ㅋㅋㅋ 울집 앞에 홈플마트    ㅋㅋㅋㅋㅋ 냄새 어휴시발 일
47,문재앙  동네  씹창 ㅋㅋㅋ
48,반일감정  개씹좌 분탕새끼
49,딴소리 성경  ㅋㅋㅋㅋㅋㅋㅋ 아 씨발 정신병자  귀찮 ㅋㅋㅋ 구글링   인생  니좆 생각   ㅋㅋㅋㅋ
50,문죄인 개새끼한테 한표 좌  총살 투표 영구 박탈
51,좌  종북  짱깨 평등  해킹 호들갑
52,잘에 금수에 능력  게이  저런으로 보지마냥 열폭똑같
53,니    글쓴이  허락  일베 허락  남 사진 막   일베 ㅈㄴ 욕 똑같 소름
54,ㅜㅜㅠㅜ 여자 서 몸평 평 조카 뭔 한남 ㅇㅈㄹ 아   꼴싫 ㅠㅠㅠ   히키같  글 한 번  관심   모습 안쓰럽
55,얼  새끼 똑같 평 ㅈㅋㅋㅋㅋㅋ
56,애 말투     따니  평가   몇십만명  네이트판에     심성  ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
57,한남 종특임ㅋㅋ애 양심으로   이쁘 ㅇㅈㄹㅋㅋㅋ
58,한남 불알발광 오지넹ㅋㅋ
59,그맘암 ㅋㅋㅋ 여친 원피스 원피스에 뽕음 ㅋㅋㅋㅋ ㅇ  개털림 ㅋㅋㅋㅋ 정 극혐 맘 ㅇㅈ
60,저새끼 당선 국민 자체 개돼지 인증 경제 씹창난 개돼지 수준
61,자국 이성에게 인간취급  무시 일베에 똥송 타령 똥양인 타령 김치녀 타령 찐따 새끼 찐따인 이유  있
62,저 새끼 한국으로  일본 좌 새끼일베에서 좌 반일선동 총동원령  분탕새끼
63,수요 있 공급 있 뇌 좆에 지배당한 남보새끼  섹스 갈구   섹스  창녀 없  성매매충 충 아웃
64,김치녀 씹압살    여자 한명 없
65,인터넷에서 폰섹 찌질 색기 무시
66,ㅅㅂ 판  로  뭔 한남 타령ㅋㅋㅋ 외국 몇 배   우물  개구리ㅉㅉ
67,남자 ㄹㅇ  학생인  성인새끼 ㅈㄴ 디엠 예쁘  ㅅㅂㅋㅋㅋㅋㅋㅋㅋ 극혐
68,발기  저 틀할매 고소
69,이런 틀 몇번  페미 시선강간이    해  ㅋ
70,아깝  댓 이해     같 새끼  ㅌㅌ
71,불매운동 좋 방송사 일본예능 표절  좋  중국 동남아 표절 욕 ㅈㄴ 로남불
72,남 무시 댓글 현실 ㅈ찐따   성적  일한테  망상으로 정신승리  찌질ㅋㅋㅋ 니  좋대학가 행복
73,바리  지랄 풍년
74,우파 괜찮 우파에 성차별주의자  ㅅㅂㅋㅋㅋㅋㅋ 한녀 ㅇㅈㄹ  여사 없 인증
75,가리  원숭이 ㅈㄴ 동물원에  돌
76,한남혐오 한녀
77,이래도 인스타에 일본   새끼  ㅂㅅ같 생각 없 일본빠 새끼인
78,ㅅㅂ 일본 싸 케이팝 케이팝공연 ㅋㅋㅋㅋㅋ
79,강간 발로     바리새끼
80,ㄱㅊ아 애 일본  멀 육지  없 ㅋㅋㅋㅋㅋㅋㅋㅅㅂ ㅈ같 일본새끼
81,한번   바리 난쟁이 ㅅㅂ새끼
82,일반인 남자 여자 저 얘기 극대노 정상  극우라는 새끼  환영 수준
83,저 바리새끼 싫 상관없 저런시위 도 지나치 저 새끼 저런마인드로 맘 옛날  지진
84,저정도  일본인 창피ㅋㅋㅋㅋㅋㅋ  볍신들
85,찐따같 애    각안 애액 ㅋㅋㅋㅋ
86,나라 사람 일본     어이없 이제  다행ㅜㅠ 제 트스트림 아인  애한테 나리   ㅠㅠ 힘들  돈  일본한테   ㅠㅠ
87,ㅅㅂ 같 새끼 아  ㅅㅂ  좋
88,이정도  나라   이런 병신 무슨 대통령
89,깨문   위안부처럼 창녀 모집
90,대 ㅂㅅ아 조선일보고 뭐고  중요 내용 중요 ㅂㅅ새끼  말
91,원숭이 새끼 ㅡㅡ
92,원숭이새끼 엿 새키ㅗㅗ드러운 일본씹쌔
93,한국 쥐뿔 없  계산   ㅋㅋㅋㅋ 남자  여자보다   ㅋㅋㅋㅋㅋ  태도    ㅋㅋ  김치
94,크  ㅅㅂ 말  소리
95,ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅈㄴ  년놈인  저정도일  ㅅㅂ ㅋㅋ
96,한남 짓 생각 꼬라지 똑같
97,팀 ㅂㅅ같 조석 감독때  코치 없 김원형 코수코 같이ㅋㅋㅋ 꼴출신  노답
98,빠
99,이 새끼 면상 한대  이런 기자 아  나이
100,아 ㅅㅂ ㅇㅈ ㅈㄴ 장애인같
101,도태 한남  매매혼 사람 노예
102,맘카페 말투  발  아
103,개ㅂㅅ  최소한  분위기에  ㅈㄴ  옹호  일본인한테 인증 샷 ㅋㅋ
104,이런글   특징  좆 ㅇㅇ
105,키 인성에 인생
106,하 이 바리 새끼
107,니 얼굴 상상ㅆㅂ  화장실 ㅅㄱ
108,어휴 새끼 정신승리 ㅋㅋ
109,혼전순결  사람    ㅂㅅ 연애 란  ㅜㅜㅜㅜ
110,여자 정신병자같 공감능력  ㅅㅂ 입병
111,고유정같  더럽  계집년 세상에
112,틀꼰대새끼 ㅋㅋㅋ 틀니 대갈통 네 개같련 ㅋㅋㅋ
113,병신 찐따둘 눙력 없 다른 여자    합리보소 ㅋㅋ
114,틀 ㅅㅂ새기
115,날두개새끼   강간사건때 축구선수 운동  어떠   비호 개시발새끼 콩밥  개객
116,같이 돈없 무능 공장 씹새끼한테 스시녀
117,병신   그 상황에서 말  ㅉㅉ
118,지서방 새끼 전무후무 희대 씹싸이코 애미애비 막걸리에 청산가리 러브샷한 개인간쓰레기 구데기년놈 피조물
119,요즘 틀 정신상태
120,히잡 이슬람 외국인 새끼 서울에
121,경계 지능장애 개새끼  지랄 시발
122,그 필요없  새끼 철밥통새끼  좆같 기수
123,개 걸레 개처럼  개년   연락처 남자 개씹선비노
124,공부 좆  상하차나  버러지새끼이  해
125,나이  꼰대 새끼  뒤 씨발놈 칼로
126,틀 씨발  문제 사회 악
127,찐따   뇌피셜
128,에휴 좆병신새끼
129,개찐따같   문제인
130,와 씨발 ㅋㅋ 짤방 씹창    진심 ㅋㅋ  동네 발정 강간범 개씹창새끼마냥 구멍 때
131,어우 씨발 찌질 병신새끼
132,김치 이기심 끝판왕 천하무적 씨발
133,보 애미새끼  대노
134,천박 남자새끼 여자 성적으로 평가 희롱 조신 집에서 집안일  공부
135,역겹 자새끼
136,개 씨발  남 폰 처  씨발
137,개좆 드리블  공  애새끼 발로
138,국민에손으로  개
139,명성황후 개좆같 왜곡 처 개돼지수준
140,뚱뚱 찐따일같  상태 좋사람 애초에  때 ㅋㅋㅋ 지얼굴 생각
141,판 찐따  ㅋㅋㅋㅋㅋㅋ ㅂㅅ   글
142,걍 쓰레기장
143,어휴 틀니기 냄새씨발
144,씨발 대가리  짜 증 ㅋㅋ
145,저런 개병신년   새끼  문제  마누라 대가리 하나 산업  빙신 좆호구새끼
146,그룹에  개 찐따 극혐 새끼   좋
147,아니씨발 신경 ㅋㅋ동네 개새끼 교배
148,씹김치 개년
149,미친개새끼사형 맞음 씨발새끼
150,짝남 관심사랑 관련좋같 예 남 힙합  힙합노래 리스트  핸드폰창 짝남 게임좋 피시방에서 게임사진같
151,25명ㅠㅠ친한동기 한두명랑  선배 동기  노노노  개인주의 ㅋㅋㅋㅋㅋ   편해요  성격
152,아  소수 개인주의   선배         부담 선배  웨이한테 관심ㅠ
153,랑  사람 있
154,좋 사람 한명 없 힘들 ㅠㅠㅜㅜㅠ
155,그런 불행에 중독 상태   손절 답
156,아이폰 화이트베젤    로  아이폰8 2년     기종없
157,공부 아이폰  나중
158,ㅠㅠ 행복    귀엽 예쁘  폰이랑     눈 아프
159,엘지 아이폰으로   엘지로 세상편ㅠㅠㅠ나랑은  ㅠㅠㅠ
160,심리무슨ㅋㅋㅋ 상대  뇌에서 필터  막말 마동석 강호동 같 사람 앞에서 막말
161,막말 여자 남자 똑같  막말
162,남자 심리    사람 심리 여자 똑같
163,사격선수 종오랑  훈련   신 아 령 팔힘 손   진종오 총 쏠 때  아무 움직임 없  사격장에서   말  아우라 장난
164,걍 나이     여자쌤
165,나이 쌤  부모 같 의식으로 편하 생각 강
166,20대 후반 30대 초반 남자쌤  젊 고등학생 애이랑     같
167,젊 여자쌤 에  착하   많 요즘에 인사  얘기   그런 쌤 많 ㅠ
168,ㅋㅋㅋㅋㅋ 사촌언니 승무원 마취 끝 기내 방송문 엌ㅋㅋㅋㅋㅋ
169,속에  말    같 ㅠㅠㅠ무셔워ㅜㅠㅠ 마취계획 없
170,수면마취도중에  수술도중에 의사한테 마취같 말ㅋㅋㅋㅋㅋㅋㅋㅋ간호사분식겁 환자   마취 ㅋㅋㅋ
171,피부과  연고  몇년간 피부에 스트레스   한테  팩으로 1일 1팩에    좋
172,와     축하 진짜
173,웨딩피치 ㅠㅠ 남자   좋  비밀리에  헤
174,착하  숙제   싫   듀보고    없  숙제
175,학교 시험 4일  시험 첫번 날   개 공부 롯데월드 감  시험 끝나지
176,전교1등 한겨울에 애이랑 밖에서 밤새
177,걍 여태 서로 대화 없상태에서 같지역 유학문제로 오해  같 종교문제  집안 무례 성격 세대 가치관
178,연애 외모    외모탓     얼굴  이상  연애    자신감  방식        적극
179,외모탓 ㅋㅋ  안경  낫 렌즈   성격  일같
180,필요없   편하  끝
181,키 크 작 얼굴   취직  소용없  백수 좋
182,정성  광고 ㅋㅋㅋㅋㅋㅋ
183,광고 고생  글내용에 이벤트  눈에    신경  플   베플 마케팅으로
184,890년 태아 성감 기술 보급 여아낙태 피크 90년 초반 무슨 서 낙태  애  대우 ㅋㅋ 생각 없 정도있
185,에 청바지  같
186,ㅋㅋ남자 좋 댓글 치마 짧  짧ㅡㅡㅋㅋ
187,24살 14살ㅋㅋㅋㅋㅋㅋㅋ친구   친구
188,14살때 뭐 연애  그렇 2주 뭐   그런 상황  그 남자보다 친구   친구 행복  성인  사 이 어느정도  같  뭐
189,남자 여자 각자 고충  메리트 있  혐오로   존중 좋ㅠㅠ
190,그이여자 감사 나라  왕복운동 6시기상   탈영 트  근무훈련
191,ㄱㅊ은듯 경찰시험 몇번  경찰 유튜브 수익  이 수입  좋
192,공무원 유튜브로 수익창출
193,행복  괜찮 조조영화 한편  시장에서  좋 간식  좋 티비 프로그램  작서 행복 연습     노력  ㅎ
194,여유 사람 성격  같
195,비추 많   성공 ㅋㅋㅋ 여 자    댓글 많 무시
196,여자회   일본대처 잘못  피곤   소극으로 응대  발 좋
197,선   좋  같  참석    이유로   참석  여자사이에서    좋 없
198,애 거지 부자욕 괜찮 부자 거지욕
199,남자 주변에 순하 생각 친구색기한테  가본경험 있 그때 사람
200,ㅇ 남자  말 남자  사람  힘들    부정  남자친구
201,세상 몸매 외모 이런 부분 좋   뼈저리 에 엄마아빠에게  감사 생각
202,응   행복에   크  중요  신경 관리하 루  에게 신경 관리 투자
203,예쁘 유리 그렇  좋  인생 공평 사람에게 적용    좋
204,회사  착하 ㅠ  그 직원
205,일  게으르 지각에 졸기     외모 개인성향  기본인 일에
206,맛ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  이틀정도 단거 생각ㅋㅋㅋㅋㅋ
207,단거 개좋 ㅠㅠ   휘영 프라푸치노 설명
208,생각보다  슈크림라떼보다 ㅏ 단거 기대  가격 7천
209,와씨   속상해 파마전 머리   개 무슨머리   환불  ㅠㅠ
210,전 머리 존예데  기로
211,남친한테 덕 주접  얔ㅋㅋㅋㅋ 비스때 열정으로 낰ㅋㅋㅋ
212,관심개 봄  승리사건 애 연락
213,동아리 가입  아무 노력       마법처럼 문제  해결   사람
214,본인 친구 신경    글 친구 중요   사람 없 에 스트레스 ㅋㅋ  연연 말래
215,언어 문자 에   시스템 전화통화  보이스노트목솔 녹음  애용
216,예의 라는  없같  좌석에  30분 스피커폰으로 영상통화  옆에  고막괜찮
217,폭      노력  노력 이런으로   나중에  피봄
218,조심 어느순간 뒷통수  자신 피해자코스프레같 거리시  룸 무섭  사람ㅠ
219,음  1723  키   위축 남자  170   170초반174 남자키  남자  키  신경  키 크 이런 반응    키 남자 여유  ㅋㅋㅋㅋ
220,키작 160후반 170대초반남자 키여자좋 지드래곤같이
221,남자여우짓보다    남자 여우짓 좋  애 애교 고 양이짓
222,한테 예쁘 말     예쁘   예쁘   한테
223,님 키 160  키 다른 비하 같 문제 키  낮 자존 자존
224,153 작 뭐 눈치정도로 작키 같
225,저런때있 늪같 동기부여 전  힘듦 사람   대학 한번욕
226,취준 직 준비  공감  그렇
227,몸매 좋 같ㅜㅜ 다리  모양 이쁘 같ㅜㅜ     같 필요  ㅋㅋㄱㄱ 진심  옷
228,바지 치마 좋같 종아리가 늘
229,얼굴   덩치 키  중요ㅋㅋ
230,누나 7년
231,부모   싫 딸 힘들 퇴사  말       뭔 한숨 글짜증
232,여성 혼 출산  맞벌이에 한남 삼첩밥상 시어머니 간섭  각자 부분에서 최고
233,페미 애싫 무섭 두렵 임신 몸
234,대학교 저런 가방  ㅎㅎㅎ
235,대학  백팩    편하뎅ㅜ
236,댓  친절  이상 친절  물건 강매
237,비 졋을때 비닐   남자  저인간 ㅋㅋㅋㅋㅋㅋ애초에 한테    호의로  눈
238,처음  번호 돈      ㅠ
239,사회으로 성공  결혼
240,그런 새끼 무시 이수역 에     여혐            시  비     신고  세상
241,반수추천  재수 영어에서 실수 삼수 자신 없 불안  전문대가서 1학기   짧 굵  생각으로 2학기 휴학 영어 등급 2개   라인  삼수  사람   수능 운  실수 사람 반수로
242,대학 인생 끝  문제 대학    입시판  순간에서   ㅋㅋㅋ 수고 많  그 점수로 인생 정의    다음에 수능 기념으로 여기저기 여행  전시회  연극보도 책  영화  세상 사람 생각보다 다양 의외 방식로    좋  수고많
243,술  술  돈으로 업소 ㅋㅋㅋ 맨 정신에  애  무섭 얘  습관 나이 애
244,술   사람  ㅋㅋ 노래방 안마방ㅜ
245,스카이신좋 찐따
246,여자  인생 개  60대에 미스코리아 출신인 할머니 말씀  할머니  시집   전형인 케이스인 생  바람  날 없  한테  여자 능력  남자 딴  이혼장      능력  결혼
247,뒷모습 멋있 섹시백  말
248,어 근육 길 곧  손 최고  ㅠㅠ 대신 얼굴   눈길
249,얘기  남자 여자 똑같 크 좋  좋  그  정도 크 좋 키 우선   남자 여자
250,키 중요   얼굴 레알
251,아빠 사업 사업   그래 쓰       밑바닥으로 추락    사업   집이     유   부모 검소에
252,저축      의문  억대연봉 서    여유  같 빚 하나 없   ㅈㄴ 부럽
253,앞으로 랑 연애 결혼
254,썸 좋 연애 싫ㅠㅠㅠ  연락   막 주변 반응 그렇  귀찮
255,때  페북에서   2 시간 00 로
256,브라   생각보다 가슴에    신경  대중교통때  여자 가슴 팔 등에  경우  많  뒤에서  얘기 다르
257,장윤주 관심있 일부로  글래머몸매 몸   관심있 그런  남편   방송에서 말
258,대학생 공무원   영업직 학생 직장인하고 다른세상   돈   돈  랑  달라요  취업
259,남친한테  봉사  저런사람   가족 소흘 밖에   종자
260,달에 2번    정도
261,대학에서 12학번 차이 선배 나이부심 걍무시해
262,인성     사과  자랑 순수  에릭남 최수종 같 남자    좋  남자 문제  여자 입장에서 그런 가정교육     입장 이야기   사람  드물 아들    노력
263,그여자    돈 남자 주위에
264,피부 파랑 날 파우더  아이라인 문신  눈썹 입술 정도  ㅎㅎ
265,사랑 나이 필요  사랑 인
266,글 여자랑 말한마디   쑥맥  모임같  어플같  여자  기회     방법 없
267,친구 카톡봣다고하는데  공감
268,친구 말  이글  좋 ㅈㄴ소름 그동안 비교 본인  낫생각
269,그 친구보다    그런
270,공부  제목   글  공부 공부 없같공부
271,시간동안 중요   공부 취업  공부  그자체  행복 요소일  인생보다 성공
272,저런 행동 보다 이날씨에   땀 폭포수처럼  그 냄새  싫  그 팔
273,이불       가운  곳에  쓰레기  곳에
274,물건 제자리 이부자리 정리 정도
275,어느  신경 본인  신경 같
276,사람 길 배경 일부일ㅋㅋㅋ   걱정
277,도용  뚱녀   그 같 태도 욕 열등감 폭발 사리분별  몸매 욕에 집 화장실욕에ㅋㅋㅋㅋ 저 좋 몸   눈 아옹 격
278,일  직업으로  일 말    저분 덕분에 님 편하      이 글 예전에  같 ㅋㅋ  재밌
279,직업에 귀천 어딨  자 리에서   사람
280,길   키작남 커플로   현실 키작남 여친
281,애취급  좋  좋아
282,고마워 글  덕분에 댓글에    정주행중  행
283,남여 이작품  첫사랑    수업시간  강추
284,외모  전반으로  여자   주장 주저 남자   주장
285,남자 외모에 자신감   사회 분위기 속에서  여자 아 래 주장 관련 댓글 마찬가지
286,와  넹 저런 사람   쉽 ㅠㅠ 오래
287,팁 있  설명 포괄 기본으로   많
288,청바지 검은색 기본 바지같 서  ㅠㅠㅠ 실패많
289,행복 에  ㅈㄴ 고민  2병 같   하루종일 고민 답
290,생각  재밌 생각공유  재밌  좋 흥분
291,실존주의에  공부 추천 알베르까뮈 이후로 실존주의   문예사조   문장으로 실존 본질에
292,삶  로 생각하 루 종일 생각
293,님생각  같 얼굴애 성격 좋  얼굴보다 성격
294,그뜻  표현 저정도로   남자  연애 그런뜻   반복
295,개이  상한 분 결혼  개 문제  개   물론   아내 집구석에서 청소   대화
296,무섭  광기에    같
297,이십대중반 차 없   키 없 시계 괜찮
298,애견카페  강아지랑  사진
299,얼굴 사진   스노우같  우       ㅇㅇㅇ너무    셀카보다 나 같
